        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202607120000,   1.908,9999.000,   0.700,9999.000,   2.608,   0.700,   2.608,   0.700,   2.608
202607120006,   1.939,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120012,   1.967,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120018,   1.990,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120024,   2.010,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120030,   2.026,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120036,   2.038,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120042,   2.045,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120048,   2.049,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120054,   2.049,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120100,   2.046,   3.438,   0.700,   0.692,   3.438,   0.700,   3.438,   0.700,   3.438
202607120106,   2.039,   3.409,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120112,   2.028,   3.360,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120118,   2.015,   3.320,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120124,   1.998,   3.278,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120130,   1.979,   3.228,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120136,   1.958,   3.189,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120142,   1.934,   3.150,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120148,   1.908,   3.120,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120154,   1.881,   3.091,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120200,   1.852,   3.048,   0.700,   0.496,   3.048,   0.700,   3.048,   0.700,   3.048
202607120206,   1.822,   3.018,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120212,   1.790,   2.989,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120218,   1.758,   2.950,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120224,   1.725,   2.910,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120230,   1.691,   2.868,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120236,   1.657,   2.828,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120242,   1.622,   2.779,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120248,   1.587,   2.740,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120254,   1.551,   2.690,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120300,   1.516,   2.638,   0.700,   0.422,   2.638,   0.700,   2.638,   0.700,   2.638
202607120306,   1.480,   2.608,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120312,   1.444,   2.569,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120318,   1.408,   2.520,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120324,   1.372,   2.481,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120330,   1.336,   2.438,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120336,   1.300,   2.399,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120342,   1.264,   2.359,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120348,   1.229,   2.320,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120354,   1.193,   2.261,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120400,   1.158,   2.228,   0.700,   0.370,   2.228,   0.700,   2.228,   0.700,   2.228
202607120406,   1.124,   2.179,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120412,   1.089,   2.130,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120418,   1.055,   2.090,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120424,   1.022,   2.061,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120430,   0.989,   2.008,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120436,   0.956,   1.979,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120442,   0.924,   1.929,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120448,   0.893,   1.890,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607120454,   0.862,   1.861,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
